Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
How To Sculpt Your Own Earth Oven: For Home or Business,4.5,5,0.5,11,Lifestyle,Home Improvement,Cooking,im Simpl,English,FALSE,0,2,0,2.5,37,No,55.98,22
Your Daily Belly Dance Break,4.6,5,0.5,52,Health & Fitness,Dance,Belly Dancing,Vanessa Naja,English,FALSE,0,0,0,1.5,0,No,44.98,24
Understanding Dysphagia: Complete Dysphagia Awareness Course,5,5,0.5,1,Health & Fitness,Safety & First Aid,Medical Imaging,Alpha Academy,English,FALSE,0,0,0,1.5,0,No,29.98,22
Web Content Avalanche: Content Marketing Course For Creators,0,0,0,0,Marketing,Content Marketing,Web Content,Nathan Conner,English,FALSE,0,0,0,4,5,No,128.98,22
Sound Engineering Level 2 - EQ (Equalizer),4.7,5,0.5,3,Music,Music Production,Audio Equalization,Liam Davin,English,FALSE,0,0,0,3.5,46,No,88.98,22
Introduction to Equine Assisted Psychotherapy,4.7,5,0.5,256,Health & Fitness,Mental Health,Psychotherapy,Wendy L,English,FALSE,0,0,0,0.666666667,1,No,68.98,22
Learn The Basics Of Photoshop From A Press Photographer,4.6,5,0.5,4,Photography & Video,Photography Tools,Photoshop,Chris Harvey,English,FALSE,0,0,0,2,12,No,29.98,22
Forex Trading Made Easy as ABC - With LIVE Examples Part 2,5,5,0.5,63,Finance & Accounting,Finance,MetaTrader,Joseph Siaw,English,FALSE,0,0,0,1,0,No,29.98,22
Health and Care Tips for Cat Owners,0,0,0,0,Lifestyle,Pet Care & Training,Pet Care,Courses ABC,English,FALSE,0,0,0,2,0,No,29.98,22
Speed Typing course:  master Touch Typing and shortcut keys,4.6,5,0.5,323,Office Productivity,Other Office Productivity,Typing,Valentin Ilicea,English,FALSE,0,6,0,2,8,No,59.98,22
Building Creative Confidence,0,0,0,0,Design,Other Design,Creativity,Institute of Product Leadership,English,FALSE,0,6,0,1,0,No,49.98,22
How to Use Facebook Advertising to Grow Your Business,4.2,5,0.5,3,Marketing,Advertising,Facebook Ads,Bryan Guerra,English,FALSE,0,4,0,7.5,8,No,128.98,22
Tensorflow and Keras For Neural Networks and Deep Learning,5,5,0.5,375,Development,Data Science,Deep Learning,Minerva Singh,English,FALSE,0,4,0,7.5,60,No,138.98,23
Active Listening: You Can Be a Great Listener,4.5,5,0.5,6765,Business,Communication,Listening Skills,Lauren Powers,English,FALSE,1,0,0,2.5,13,Yes,108.98,22
Agile Scrum Training: Scrum Master+Agile Project Management,4.5,5,0.5,1641,Development,Software Engineering,Agile,"Umer Waqar, PMP",English,FALSE,1,4,0,2.5,1,Yes,128.98,22
The Complete Instagram Marketing Course - 6 Courses In 1,3.4,5,0.5,952,Marketing,Social Media Marketing,Instagram Marketing,James Canzanella,English,FALSE,0,1,0,1.5,0,No,128.98,22
Marketing 101 for Groomers,4.8,5,0.5,8,Marketing,Marketing Fundamentals,Marketing Plan,Sarajenie Smith,English,FALSE,0,0,0,1,2,No,29.98,22
Microdermabrasion course,4.3,5,0.5,139,Health & Fitness,Other Health & Fitness,Skincare,Yuliya Tkachenko,English,FALSE,0,1,0,1,7,No,44.98,22
Chemistry Course: Kick-start your A-level Chemistry or IB,5,5,0.5,2,Teaching & Academics,Science,Chemistry,Faye Carlisle,English,FALSE,0,0,0,1,0,No,29.98,22
A Color Story,0,0,0,0,Personal Development,Creativity,Acrylic Painting,DENISE LOVE,English,FALSE,0,0,0,5.5,0,No,59.98,22
Mastering IBM Blueworks Live,0,0,0,0,Business,Business Analytics & Intelligence,Unknown,Matthew Oatts,English,FALSE,0,0,0,4.5,0,No,128.98,22
MRCPCH fundamentals. Inborn errors of metabolism.,0,0,0,0,Health & Fitness,Other Health & Fitness,Membership Website,Shaimaa Salah,English,FALSE,0,0,0,3.5,0,No,29.98,22
Leading Effective Meetings - You Can Lead Effective Meetings,4.5,5,0.5,717,Personal Development,Leadership,Meetings,TJ Walker,English,FALSE,0,2,0,27,6,No,158.98,26
Certificate Course on VSDC Video Editor 2021,4.5,5,0.5,10,Photography & Video,Video Design,Video Editing,Venkatesh B,English,FALSE,0,0,0,2.5,0,No,44.98,22
Podcast For Business | How To Grow A Business With Podcast,4.8,5,0.5,14,Marketing,Advertising,Podcasting,Zoolord Academy,English,FALSE,0,1,0,1,0,No,128.98,22
eBook Marketing Kit,5,5,0.5,3,Marketing,Digital Marketing,eBook Creation,Johnathan Leow,English,FALSE,0,0,0,2,0,No,29.98,22
Financial Modeling Level 1,0,0,0,0,Finance & Accounting,Financial Modeling & Analysis,Financial Modeling,Isaac Alormenu,English,FALSE,0,0,0,5,1,No,128.98,22
GAP Analysis: A Practical Approach,3.9,5,0.5,6,Finance & Accounting,Other Finance & Accounting,Project Management,Illumeo Learning,English,FALSE,0,4,0,0.733333333,4,No,34.98,22
Youtube: Beginners Guide To A Successful Channel,3.6,5,0.5,162,Marketing,Video & Mobile Marketing,YouTube Marketing,Eduonix Learning Solutions,English,FALSE,0,1,0,2.5,0,No,49.98,22
Create Action 2D RPG Game  in Unity,5,5,0.5,2,Development,Game Development,Unity,Paul Hadiza,English,FALSE,0,0,0,10,1,No,34.98,22
Learn Krav Maga for Self Defense Fast!,4.9,5,0.5,51,Health & Fitness,Self Defense,Self-Defense,Patrick Cumiskey,English,FALSE,0,0,0,3.5,0,No,29.98,22
The Flow State Transformational Training Video Course,4.2,5,0.5,350,Health & Fitness,Yoga,Unknown,Dashama Konah,English,FALSE,0,3,0,18,2,No,218.98,218.98
Flying the Messerschmitt Bf 109 K,5,5,0.5,1,Lifestyle,Gaming,Aviation,"Graham ""The Baron"" Hesketh",English,FALSE,0,0,0,1,0,No,29.98,29.98
Creating Kingdom Leaders to Impact the World,5,5,0.5,2,Personal Development,Leadership,Christianity,Tim Gregory,English,FALSE,0,0,0,2.5,38,No,29.98,29.98
The Complete Cyber Security Course : Network Security!,4.5,5,0.5,11300,IT & Software,Network & Security,Cyber Security,Nathan House,English,TRUE,0,1,0,12.5,2,Yes,128.98,24
Texture an Industrial Door for Games with nDo for CryENGINE,5,5,0.5,8,Design,Game Design,Game Texturing,3dmotive LLC,English,FALSE,0,0,0,2.5,1,No,29.98,22
Building Trust in the Digital Classroom,5,5,0.5,1,Business,Communication,Teaching Online,"Jesse Harris, SPHR",English,FALSE,0,0,0,0.666666667,8,No,49.98,22
Build your own GPS tracking system-Raspberry Pi Zero W 2021,4.5,5,0.5,640,IT & Software,Hardware,GPS,comfiny .,English,FALSE,0,13,0,2,1,Yes,118.98,22
The Secrets to Drawing,4.6,5,0.5,3709,Lifestyle,Arts & Crafts,Drawing,Matthew Fussell,English,FALSE,0,0,0,5.5,29,No,40.98,22
Change Your Mind and Change Your Life,0,0,0,0,Personal Development,Personal Transformation,Mindset,David Lucas,English,FALSE,0,0,0,1.5,0,No,64.98,22
Live Stream DJ Sets Using OBS (Open Broadcaster Software),4.6,5,0.5,28,Music,Music Software,Live Streaming,Ross Palmer,English,FALSE,0,0,0,1.5,0,No,40.98,22
"Design Bundle: AutoCAD, SketchUp, Photoshop, 3ds Max & V-Ray",0,0,0,0,Design,Interior Design,AutoCAD,Leyla A,English,FALSE,0,0,0,2.5,6,No,29.98,22
Arabic language | The comprehensive course - Learn modern,4.6,5,0.5,2338,Teaching & Academics,Language Learning,Arabic Language,Fadi G. C.,English,FALSE,0,0,0,21,20,Yes,168.98,27
Pianoforall - Incredible New Way To Learn Piano & Keyboard,4.6,5,0.5,38387,Music,Instruments,Piano,Robin Hall,English,FALSE,0,0,0,10,9,Yes,128.98,22
Meditation for Beginners: Taming The Monkey Mind,4.3,5,0.5,86,Health & Fitness,Meditation,Unknown,Ken Wells,English,FALSE,0,1,0,1.5,6,No,138.98,23
WordPress for Beginners - Master WordPress Quickly,0,0,0,0,Design,Web Design,WordPress,Website Learners,English,FALSE,0,1,0,5,0,No,88.98,88.98
Procreate Fashion Illustration For Beginners,0,0,0,0,Design,Fashion Design,Unknown,chantelle taylor,English,FALSE,0,0,0,1,0,No,78.98,22
Sing 4 Profit,0,0,0,0,Music,Other Music,Music Business,Keith Ayoby,English,FALSE,0,0,0,1,1,No,29.98,22
Cognitive Psychology for Weight Loss,4,5,0.5,75,Health & Fitness,Dieting,Weight Loss,Weng Honn Kan,English,FALSE,0,9,0,1,7,No,128.98,22
Ignite your Intuition Pt2,0,0,0,0,Lifestyle,Esoteric Practices,Intuition,Vivienne McAlister-Geertz (VivMcG),English,FALSE,0,0,0,7,17,No,128.98,22
Chess for total beginners,4.5,5,0.5,71,Lifestyle,Gaming,Chess,Katie Kormanik,English,FALSE,0,18,0,1.5,0,No,34.98,22
QuickBooks Online Bank Feeds And Importing Transactions,4.7,5,0.5,88,Business,Other Business,QuickBooks Online,Mark Smolen,English,FALSE,0,0,0,1.5,0,No,29.98,22
ACCA PM (F5) Performance Management - A Comprehensive Course,4.9,5,0.5,47,Finance & Accounting,Money Management Tools,ACCA,Syed Muhammad Ali Shah,English,FALSE,0,0,0,34.5,4,No,49.98,49.98
"Present value, Future value and Capital Structure",4.7,5,0.5,4,Finance & Accounting,Finance Cert & Exam Prep,Finance Fundamentals,Professor Francisco Vigario,English,FALSE,0,0,0,6,0,No,29.98,22
How to refresh your home on a budget,0,0,0,0,Design,Interior Design,Home Improvement,Debbie Washington,English,FALSE,0,0,0,1,1,No,29.98,22
Google Analytics for Beginners | Top 7 reports,3.3,5,0.5,79,Marketing,Marketing Analytics & Automation,Google Analytics,Grigor Yovov,English,FALSE,0,5,0,2.5,2,No,55.98,22
Fashion portrait retouching class,4.4,5,0.5,5,Photography & Video,Portrait Photography,Photoshop Retouching,Nenad Rakićević,English,FALSE,0,1,0,0.616666667,0,No,29.98,22
Professional Diploma in Online Education,5,5,0.5,1,Teaching & Academics,Online Education,Teaching Online,Shanmugam Subramonian,English,FALSE,0,0,0,1,7,No,29.98,22
"UMAMI rich broth ""DASHI"" and popular Japanese dishes!",5,5,0.5,2,Lifestyle,Food & Beverage,Japanese Cooking,Asako Nonaka,English,FALSE,0,0,0,1.5,0,No,68.98,22
3ds Max Mastery in 7 Hrs: Project Based Intro for Beginners,4.4,5,0.5,1582,Design,3D & Animation,3ds Max,Adam Zollinger,English,TRUE,0,6,0,8,4,No,128.98,22
"Storytelling - inspire, convince, be understood",5,5,0.5,5,Marketing,Social Media Marketing,Storytelling,Markus Feigl,English,FALSE,0,0,0,1.5,1,No,118.98,22
The Complete Wireshark Course: Go from Beginner to Advanced!,4.2,5,0.5,3326,IT & Software,Network & Security,Wireshark,Ermin Kreponic,English,FALSE,0,0,0,6.5,1,No,128.98,22
Corporate Finance #13 Investment Banking & Long-Term Debt,4.3,5,0.5,11,Business,Business Strategy,Investment Banking,Robert (Bob) Steele,English,FALSE,0,0,0,7.5,29,No,128.98,22
Audit - Practice Questions on Audit Procedures - Part 3,5,5,0.5,1,Finance & Accounting,Accounting & Bookkeeping,ACCA,Compliance Security and Risk Management,English,FALSE,3,0,0,0,0,No,29.98,22
Music Theory I,0,0,0,0,Music,Music Fundamentals,Music Theory,Carrie Campbell,English,FALSE,0,0,0,1.5,1,No,78.98,22
DevOps Project: CICD with Git GitLab Jenkins  and Laravel,4.8,5,0.5,77,Development,Software Development Tools,DevOps,Dare Soremi,English,FALSE,0,7,0,5,0,Yes,88.98,22
Create your own Meal & Exercise Program - ENDOMORPH,0,0,0,0,Health & Fitness,Nutrition,Meal Planning,Jacinta Lees,English,FALSE,0,9,0,1,5,No,118.98,22
SAP WM Warehouse Management,4,5,0.5,357,Office Productivity,SAP,SAP Warehouse Management,Ricardo Naya,English,FALSE,0,0,0,3.5,10,No,104.98,22
Setting your House in Financial Order,5,5,0.5,2,Finance & Accounting,Other Finance & Accounting,Personal Finance,Elles Mukunyadze,English,FALSE,0,0,0,3,2,No,108.98,22
Deep Dive Into The Breath: Seven Day Breath Challenge,5,5,0.5,3,Health & Fitness,Mental Health,Breathing Techniques,Charlie Kruse,English,FALSE,0,0,0,2.5,6,No,29.98,22
PHOTOSHOP: Create Your Graphic Web Design & Personal Brand,4.1,5,0.5,157,Marketing,Content Marketing,Photoshop,Jens Belner,English,FALSE,0,8,0,4,5,No,29.98,22
Slack (Beginners & Advanced): Fast Track Training,5,5,0.5,2,Office Productivity,Other Office Productivity,Slack,Douglas Melvin,English,FALSE,0,0,0,1,1,No,78.98,22
Learn Biblical Greek Verbs,0,0,0,0,Teaching & Academics,Language Learning,Greek Language,Dr. Derek Cooper,English,FALSE,0,0,0,2.5,20,No,49.98,22
Project Management for Engineers,0,0,0,0,Business,Project Management,Unknown,Vahid Faghihi,English,FALSE,0,0,0,20.5,44,No,128.98,22
Chronic Care Management For Care Coordinators,3.8,5,0.5,91,Health & Fitness,Other Health & Fitness,Healthcare,Erik Ilyayev,English,FALSE,0,0,0,2,0,No,40.98,22
Shopify for Designers: Figma and Branding Crash Course,0,0,0,0,Design,Design Thinking,Shopify,Working With Shopify,English,FALSE,0,0,0,1.5,0,No,29.98,22
Leaflet Mobile GIS Mapping,5,5,0.5,4,Development,Mobile Development,Leaflet,Victor Neene,English,FALSE,0,1,0,6.5,5,No,88.98,22
The Ultimate Beginner To Professional Procreate Course!,0,0,0,0,Design,Graphic Design & Illustration,Procreate Digital Illustration App,Live To Create,English,FALSE,0,0,0,1,8,No,29.98,22
Makeup Photography Coach Certification,3.5,5,0.5,2,Photography & Video,Other Photography & Video,Makeup Artistry,Julia Shantal,English,FALSE,0,0,0,1,0,No,108.98,22
Measurement Systems Analysis (MSA) Training Course,0,0,0,0,Business,Operations,Quality Assurance,Olanab Consults,English,FALSE,0,8,0,0.666666667,0,No,44.98,22
Statistics: Regression Analysis Using Excel,5,5,0.5,8,Business,Business Analytics & Intelligence,Database Management,Stephen Peplow,English,FALSE,0,0,0,2,14,No,29.98,22
Applied Logic (Level 2),4.8,5,0.5,2934,IT & Software,Hardware,PLC,Paul Lynn,English,TRUE,0,7,0,8,29,No,29.98,29.98
The Ultimate Weight Loss Program,0,0,0,0,Health & Fitness,Dieting,Weight Loss,Kameliya Dimova,English,FALSE,0,0,0,1.5,4,No,34.98,34.98
Learn Figma: The Complete UX/UI Design Essentials Course,4.5,5,0.5,7,Design,User Experience Design,Figma,Max Brinckmann,English,FALSE,0,0,0,4,3,No,49.98,22
TIA Portal Master Project (Level 5),4.6,5,0.5,2147,IT & Software,Hardware,PLC,Paul Lynn,English,FALSE,0,13,0,29,0,Yes,29.98,29.98
Complete Linux Bash Shell Scripting with Real Life Examples,4.7,5,0.5,1752,IT & Software,Operating Systems & Servers,Shell Scripting,"Imran Afzal (270,000+ students)",English,FALSE,0,4,0,14.5,27,No,128.98,22
A Creator's Guide to NFTs,4.4,5,0.5,27,Finance & Accounting,Cryptocurrency & Blockchain,NFT (Non-Fungible Tokens),Sinjun Wesson,English,FALSE,0,0,0,1.5,3,No,29.98,22
Realignment With Love,0,0,0,0,Personal Development,Happiness,Love,Irem Erdem,English,FALSE,0,0,0,3.5,0,No,44.98,44.98
RPG Core Combat Creator: Learn Intermediate Unity C# Coding,4.8,5,0.5,8847,Development,Game Development,C#,Ben Tristem,English,TRUE,0,5,0,27.5,15,No,198.98,39
Teen Entrepreneurs: Starting An Online Business,5,5,0.5,1,Business,Entrepreneurship,Digital Marketing,John J Peterson,English,FALSE,0,23,0,2.5,1,No,68.98,68.98
5-Week Sleep Transformation,0,0,0,0,Health & Fitness,Other Health & Fitness,Sleep,Angela Holliday-Bell,English,FALSE,0,0,0,1,9,No,218.98,218.98
"Certified English Course, Indian Spiritual Dance learning 4",0,0,0,0,Health & Fitness,Dance,Unknown,Sarita Wariyer,English,FALSE,0,0,0,1,1,No,34.98,22
Restoring Humanity,0,0,0,0,Lifestyle,Other Lifestyle,Humanities,Nolan Pillay,English,FALSE,0,0,0,0.516666667,6,No,29.98,22
Agile Fundamentals: Including Scrum and Kanban - 2021,4.5,5,0.5,21556,Business,Business Analytics & Intelligence,Agile,The BA Guide | Jeremy Aschenbrenner,English,FALSE,0,9,0,4.5,27,Yes,198.98,35
"Integrated Project Teams (IPTs), Charters and TechStat",0,0,0,0,Business,Project Management,Compliance (IT),Zen Federal,English,FALSE,0,0,0,1.5,0,No,218.98,218.98
The Real Estate Pro Forma Modeling Master Class,4.7,5,0.5,1312,Business,Real Estate,Financial Modeling,Justin Kivel,English,TRUE,0,3,0,9,9,Yes,138.98,23
St John Ambulance: Official Baby & Paediatric First Aid,4.6,5,0.5,201,Health & Fitness,Safety & First Aid,First Aid,Expert Academy,English,FALSE,0,1,0,0.533333333,0,No,59.98,22
SAP CO: Production VARIANCE ANALYSIS in S/4 HANA 1909,4.5,5,0.5,21,Finance & Accounting,Finance,SAP FICO,Karanam Sreedhar,English,FALSE,0,0,0,9,0,No,29.98,29.98
Simplify Collaboration & Communication with Microsoft Teams,0,0,0,0,Office Productivity,Microsoft,Microsoft Teams,SONIC Performance Support - E-Learning Experts,English,FALSE,0,0,0,2.5,12,No,29.98,22
Ultimate AWS Certified Solutions Architect Associate 2021,4.7,5,0.5,84312,IT & Software,IT Certifications,AWS Certification,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",English,TRUE,1,13,0,26,1,Yes,128.98,22
Night Flying,5,5,0.5,1,Lifestyle,Other Lifestyle,Aviation,"Graham ""The Baron"" Hesketh",English,FALSE,0,0,0,2,0,No,29.98,29.98
How to Find Business Ideas For Entrepreneurship,4.3,5,0.5,86,Marketing,Other Marketing,Business Idea Generation,Robin & Jesper,English,FALSE,0,2,0,3.5,3,No,128.98,22
Selenium in C# - Setup Simple Test Automation Framework,4.6,5,0.5,61,Development,Software Testing,Selenium WebDriver,Tigran Ter-Karapetyants,English,FALSE,1,0,0,4,0,No,40.98,22
RMP® Exam Practice Test 1 (6 Exams),0,0,0,0,Teaching & Academics,Test Prep,PMI-RMP,First Step Training,English,FALSE,4,0,0,0,0,No,218.98,218.98
Mastering Cubase 9: The Beginners Bible Edition,4.2,5,0.5,239,Music,Music Software,Cubase,Federico Soler Fernández,English,FALSE,0,0,0,2,6,No,128.98,22
The Ultimate Guide to Toplining,5,5,0.5,8,Music,Other Music,Songwriting,Sam Dawson,English,FALSE,0,0,0,1.5,0,No,59.98,22
Sustainable Interiors,3.7,5,0.5,80,Design,Interior Design,Sustainable Architecture,EDS Global,English,FALSE,0,0,0,1,0,No,40.98,22
DSLR Photography for Beginners - Everything you need to know,4.1,5,0.5,43,Photography & Video,Photography,Unknown,Rose Nene,English,FALSE,0,0,0,4.5,9,No,34.98,22
Law of Contracts in 60 Minutes: A Fast Track Course,4.1,5,0.5,246,Business,Business Law,Contract Law,Shaveen Bandaranayake,English,FALSE,0,0,0,2,4,No,59.98,22
Learn The Internet Marketing lifestyle of Online Marketers,5,5,0.5,1,Marketing,Marketing Fundamentals,Online Business,Zoolord Academy,English,FALSE,0,1,0,1,0,No,128.98,22
Logic Pro X Training for Music Producers,4.8,5,0.5,313,Music,Music Software,Logic Pro X,Sal A.,English,FALSE,0,4,0,2.5,1,No,108.98,22
"Altcoin Ratings, Reviews, & Price Analysis System",4.8,5,0.5,5623,Finance & Accounting,Cryptocurrency & Blockchain,Personal Finance,The Bearable Bull,English,FALSE,0,26,0,8.5,0,Yes,108.98,22
Learn Professional 2D Game Asset Graphic Design in Photoshop,4.6,5,0.5,1704,Design,Game Design,Graphic Design,Jaysen Batchelor,English,FALSE,0,5,0,7.5,2,No,128.98,22
Certified & Accredited Fundamentals of Hypnosis Practitioner,4.6,5,0.5,2,Personal Development,Other Personal Development,Hypnosis,Mark Casey,English,FALSE,0,2,0,2.5,2,No,88.98,22
How to Sell Anything to Anyone,4.4,5,0.5,701,Business,Sales,Sales Skills,Desmond Byram,English,FALSE,0,0,0,9.5,38,No,138.98,23
Taxability of Earnings,0,0,0,0,Finance & Accounting,Taxes,Tax Preparation,"Michael E Scott CPA, CMA",English,FALSE,0,10,0,1,0,No,34.98,22
Become An Expert At Microsoft Dynamics 365 For Sales (CRM),4.4,5,0.5,714,Business,Sales,Microsoft Dynamics 365,Online CRM Training (3E Consulting Private Limited),English,FALSE,0,4,0,9,1,No,138.98,23
Test your knowledge: Kubernetes (Set of 4),4.8,5,0.5,2,Development,Software Development Tools,Kubernetes,Cerulean Canvas,English,FALSE,4,0,0,0,0,No,29.98,22
Canadian Securities Course (CSC) PART 1 FULL Crash Course,5,5,0.5,1,Finance & Accounting,Finance Cert & Exam Prep,Canadian Securities Course (CSC),Adam Aizad Ahmad,English,FALSE,0,0,0,8,0,No,29.98,22
Personal Transformation Breakthrough Coach (ACCREDITED),4.6,5,0.5,132,Lifestyle,Other Lifestyle,Personal Transformation,Graham Nicholls,English,FALSE,0,3,0,3.5,2,Yes,128.98,22
Fundamentals of Exercise Science,0,0,0,0,Health & Fitness,Sports,Sports Coaching,Onur Çoban,English,FALSE,0,0,0,1,0,No,29.98,22
Body Language to Help Your Business Career,4.7,5,0.5,637,Personal Development,Career Development,Body Language,TJ Walker,English,FALSE,0,2,0,30.5,8,No,128.98,22
Interactive Python Dashboards with Plotly and Dash,4.7,5,0.5,6250,Development,Data Science,Python,Jose Portilla,English,TRUE,0,2,0,9.5,0,No,128.98,22
Counseling for Improved Sales Performance,0,0,0,0,Personal Development,Motivation,Counseling,Illumeo Learning,English,FALSE,0,2,0,0.516666667,2,No,29.98,22
"Fashion Design: Collar, Buttons and Cuffs Marvelous Designer",4.7,5,0.5,25,Design,Fashion Design,Fashion,Charles Elum,English,FALSE,0,1,0,2.5,1,No,29.98,22
Angular JS - Complete Guide (2021),3.9,5,0.5,79,Development,Web Development,AngularJS,THE K INSTRUCTOR,English,FALSE,0,13,0,7,0,No,128.98,22
Introduction to Apache NiFi | Cloudera DataFlow - HDF 2.0,4.6,5,0.5,3145,Development,Database Design & Development,Big Data,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",English,FALSE,0,3,0,2,1,Yes,108.98,22
Krav Maga Awareness Training,5,5,0.5,2,Health & Fitness,Self Defense,Krav Maga,Nick Drossos,English,FALSE,0,0,0,0.716666667,0,No,34.98,22
Learn Figma in 14 Days - Master UI Design and Prototyping,4.6,5,0.5,184,Design,User Experience Design,Figma,Muhammad Ahsan Pervaiz,English,FALSE,0,2,0,8,0,No,108.98,22
Learn Carnatic Flute | Intermediate Level | Varnams Volume 2,5,5,0.5,1,Music,Instruments,Carnatic Music,Krishna Mohan Bhagavatula,English,FALSE,0,2,0,1,0,No,78.98,22
How To Write 1 Book In Under 6 Hours,3.6,5,0.5,241,Business,Media,Writing a Book,Marc Guberti,English,FALSE,0,0,0,0.666666667,0,No,49.98,22
