Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
"Complete Video Creation, Video Marketing, & YouTube MASTERY",4.4,5,0.5,591,Marketing,Video & Mobile Marketing,Video Marketing,"Ing. Tomas Moravek | SEO, Facebook Ads & Facebook Marketing Expert",English,FALSE,0,0,0,14.5,39,Yes,128.98,22
Generators in Python,5,5,0.5,1,Development,Programming Languages,Python,life michael,English,FALSE,0,0,3,0.5,6,No,34.98,22
Forex-Money Management Strategy,0,0,0,0,Business,Other Business,Forex,Hamza Saeed,English,FALSE,0,0,0,1,0,No,29.98,22
College Level Advanced Linear Algebra! Theory & Programming!,4.5,5,0.5,344,Teaching & Academics,Math,Linear Algebra,"Ahmed Fathy, MSc",English,FALSE,0,15,0,35,2,No,138.98,22
Product Development and Management Processes,3,5,0.5,1,Business,Operations,Product Development,Profadev Technologies,English,FALSE,0,0,0,0.633333333,0,No,34.98,22
Best Practices for Interpreters,4,5,0.5,1,Business,Other Business,Translation Business,Svetlana O'Farrell,English,FALSE,2,0,0,1.5,0,No,29.98,29.98
Wordpress Engagement Optimization:,0,0,0,0,Marketing,Growth Hacking,WordPress,Carlos Figueira,English,FALSE,0,0,0,1,0,No,29.98,22
Ignite Your Podcast Power,4.6,5,0.5,4,Business,Media,Podcasting,Emmett Ferguson,English,FALSE,0,13,0,4.5,9,No,40.98,22
Clear Mind Open Heart Meditation Part 1,0,0,0,0,Health & Fitness,Meditation,Unknown,"Brian Sheen, Ph.D",English,FALSE,0,0,0,1,0,No,59.98,22
Business Development & B2B Sales for Startups- Sales Valley,4.5,5,0.5,4835,Business,Sales,Business Development,Patrick Dang,English,TRUE,0,0,0,6.5,14,Yes,128.98,22
OBS Studio Master Course: The Complete Guide to Streaming,4.9,5,0.5,16,Lifestyle,Gaming,Open Broadcaster,Kelvin Sousa,English,FALSE,0,4,0,5,0,Yes,59.98,22
All About Photography Exposure,4.9,5,0.5,8,Photography & Video,Digital Photography,Photography,Beyond Photography,English,FALSE,0,0,0,1,0,No,29.98,22
LIMITING & DITHERING (with Slate Digital FG-X),0,0,0,0,Music,Music Software,Music Production,MUSICAL NOTES,English,FALSE,0,0,0,1.5,0,No,29.98,22
The Origin Of Creation - The Big Bang Theory,5,5,0.5,1,Personal Development,Religion & Spirituality,Earth Science,Michael Mathiesen,English,FALSE,0,0,0,1,0,No,59.98,22
Learn to Play Chess Openings Like a Master,4.7,5,0.5,209,Lifestyle,Gaming,Chess,Greg Vanderford,English,FALSE,0,0,0,4,1,No,128.98,22
WorkflowMax cloud project management software course,5,5,0.5,1,Finance & Accounting,Accounting & Bookkeeping,Project Management,Maria S.,English,FALSE,0,1,0,2,2,No,29.98,22
Learning Windows PowerShell,4.5,5,0.5,5803,IT & Software,Operating Systems & Servers,PowerShell,Infinite Skills,English,TRUE,0,1,0,5,1,No,59.98,22
Psychic Development - Advanced,0,0,0,0,Lifestyle,Esoteric Practices,Psychic,Riki Davies,English,FALSE,0,0,0,3.5,5,No,188.98,188.98
The Philosophy of FileMaker - Part 3,4.8,5,0.5,69,Development,Database Design & Development,FileMaker,John Mark Osborne,English,FALSE,0,0,0,9,7,No,68.98,68.98
"Learn Guitar Repair - Module 1, Maintaining Your Guitar",4.5,5,0.5,336,Music,Other Music,Luthiery,Kevin Webb,English,FALSE,0,26,0,1.5,17,No,34.98,22
Jiu Jitsu Triangle Choke,5,5,0.5,11,Health & Fitness,Sports,Martial Arts,Gavin Hain,English,FALSE,0,0,0,2,0,No,49.98,22
